id,source,target,weight
1,0,1,139.137779
2,0,2,276.833470
3,0,3,380.296814
4,0,4,639.483337
5,0,5,627.896980
6,0,6,611.151476
7,0,7,753.772917
8,0,466,786.905305
9,0,467,761.154160
10,0,500,393.403712
11,0,501,479.556470
12,0,563,732.426787
13,0,911,654.358497
14,0,912,397.610551
15,0,913,212.300138
16,0,1020,789.358487
17,0,1021,700.137086
18,0,1034,793.435807
19,0,1035,609.132310
20,0,1036,456.250059
21,0,1037,353.529195
22,0,1038,608.854945
23,0,1039,793.608960
24,1,2,320.503879
25,1,3,481.459112
26,1,4,736.333230
27,1,5,687.959464
28,1,6,615.037301
29,1,7,718.043848
30,1,500,306.387517
31,1,501,367.504109
32,1,563,632.911322
33,1,911,780.731604
34,1,912,522.974129
35,1,913,351.389289
36,1,1020,651.026146
37,1,1021,561.161009
38,1,1034,741.496929
39,1,1035,577.959871
40,1,1036,454.067998
41,1,1037,398.979809
42,1,1038,664.217864
43,2,3,220.129733
44,2,4,441.333528
45,2,5,367.463502
46,2,6,341.818641
47,2,7,516.512503
48,2,8,679.380622
49,2,466,750.748212
50,2,467,661.025471
51,2,468,614.265204
52,2,500,312.672341
53,2,501,435.732336
54,2,563,615.039153
55,2,912,571.763372
56,2,913,327.823120
57,2,1021,764.187790
58,2,1036,732.511448
59,2,1037,625.938339
60,3,4,259.187087
61,3,5,299.629930
62,3,6,433.780383
63,3,7,652.222875
64,3,465,749.709576
65,3,466,537.519455
66,3,467,440.959907
67,3,468,475.798615
68,3,469,661.272634
69,3,499,780.992749
70,3,500,532.657639
71,3,501,655.856189
72,3,911,680.835654
73,3,912,499.737799
74,3,913,286.465831
75,3,1037,669.081816
76,3,1255,757.436733
77,3,1259,756.070396
78,4,5,218.431176
79,4,6,476.435236
80,4,7,702.079780
81,4,465,711.523698
82,4,466,479.831432
83,4,467,313.516733
84,4,468,234.325644
85,4,469,406.830390
86,4,470,616.495116
87,4,499,559.301299
88,4,500,732.671715
89,4,912,691.730675
90,4,913,522.724870
91,4,1254,749.385892
92,4,1255,515.522598
93,4,1259,552.640620
94,5,6,267.547694
95,5,7,487.459010
96,5,8,651.163343
97,5,466,693.285423
98,5,467,531.821046
99,5,468,266.364496
100,5,469,457.632044
101,5,470,645.883021
102,5,499,508.336070
103,5,500,597.405551
104,5,501,712.764744
105,5,563,780.868835
106,5,912,798.303746
107,5,913,582.927114
108,5,1255,673.617126
109,5,1259,748.085248
110,6,7,228.705122
111,6,8,399.611568
112,6,9,603.476146
113,6,467,783.354772
114,6,468,510.701964
115,6,469,684.830011
116,6,499,654.272990
117,6,500,414.934910
118,6,501,508.721944
119,6,502,716.998602
120,6,563,522.919878
121,6,913,657.297918
122,7,8,172.196326
123,7,9,376.429778
124,7,10,586.703902
125,7,11,752.206027
126,7,468,704.068644
127,7,499,769.374099
128,7,500,441.481475
129,7,501,484.856736
130,7,502,521.526403
131,7,503,681.192221
132,7,563,379.553019
133,466,460,737.308633
134,466,461,696.095133
135,466,462,528.910450
136,466,463,610.556798
137,466,464,477.188194
138,466,465,231.700185
139,466,467,185.699029
140,466,468,637.913840
141,466,469,709.450367
142,466,903,794.196061
143,466,904,644.005816
144,466,905,440.623745
145,466,911,506.505015
146,466,912,561.593961
147,466,913,579.647741
148,466,1254,549.652061
149,466,1255,544.687001
150,466,1259,408.703786
151,466,1636,755.897893
152,467,460,771.306673
153,467,461,775.318566
154,467,462,640.010319
155,467,463,782.074351
156,467,464,655.838576
157,467,465,410.146972
158,467,468,452.564524
159,467,469,529.684508
