id,uwi,latitude,longitude,well_name
43,ASA_0003,46.56191000,56.43903000,
440,ATA_0001,46.70314000,55.48240000,
2415,JET_4555,,,G_4555/3
2484,JET_4780,,,G_4780/17
62,ASA_0014,46.55459000,56.34321000,
1,AIR_0001,46.68999000,56.11080000,G_1Айрантакыр
2,AIR_0002,46.66180000,56.16315000,G_2/Айрантакыр
3,AIR_0003,46.74323246,56.09214023,G_3/Айрантакыр
4,AIR_0004,46.68857000,56.10497000,4-Айрантакыр
5,AIR_0008,46.69253000,56.10863000,G_8/Айрантакыр
6,AIR_0011,46.69559000,56.10887000,G_11/Айрантакыр
7,AIR_0012,46.69142000,56.10487000,G_12-Айрантакыр
8,AIR_0013,46.69376041,56.11210434,G_13/Айрантакыр
9,AIR_0014,46.68857090,56.11334415,G_14/Айрантакыр
10,AIR_0015,46.68739893,56.11079404,G_15/Айрантакыр
11,AIR_0017,46.69405057,56.10697696,17-Айрантакыр
12,AIR_0019,46.69068849,56.10103114,G_19-Айрантакыр
13,AIR_0020,46.69307504,56.10340886,G_20-Айрантакыр
14,AIR_0021,46.69006754,56.10847423,G_21-Айрантакыр
15,AIR_0022,46.69146135,56.11246610,G_22-Айрантакыр
16,AIR_0023,46.68996021,56.10313818,G_23-Айрантакыр
17,ALA_0001,46.70333050,55.48230410,1-Алатюбе
18,ALA_0002,46.71702000,55.55319000,G_2-Алатюбе
19,ALA_0003,46.69390000,55.54441000,G_3-Алатюбе
20,ALA_0004,46.69561000,55.56452000,G_4-Алатюбе
21,ALA_0005,46.65584000,55.56743000,#Н/Д
22,ALA_0006,46.70885000,55.57121000,#Н/Д
23,ALA_0007,46.68849000,55.52634000,#Н/Д
24,ALA_0008,46.68747000,55.57336000,G_8-Алатюбе
25,ALA_0009,46.72485620,55.54660210,#Н/Д
26,ALA_0011,46.75164000,55.55199000,#Н/Д
27,ALA_0021,46.69813750,55.47227990,21-Алатюбе
28,ALA_0022,46.68383000,55.54869000,#Н/Д
29,ALA_0023,46.67795000,55.56547000,#Н/Д
30,ALA_0024,46.70060000,55.54774000,G_24/Ала-төбе
31,ALA_0025,46.71326180,55.55882010,#Н/Д
32,ALA_0026,46.69594160,55.55630210,#Н/Д
33,ALA_0027,46.70720000,55.56023000,G_27-Алатюбе доб.
34,ALA_0030,46.71029000,55.54701000,G_30-Алатюбе доб.
35,ALA_0032,46.70432497,55.56377701,G_32-Алатюбе
36,ALA_0033,46.68659000,55.56382000,33/Алатобе. доб
