wialon_id,nm,cls,mu,pos_t,pos_y,pos_x,registration_plate,payload_json
28991328,BPA_Daewoo BH 120F GDW 807JR12,2,0,1771242141,49.65237,59.182998,807JR12,"{""id"": 28991328, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 807JR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 94423, ""pos"": {""c"": 321, ""f"": 7, ""s"": 0, ""t"": 1771242141, ""x"": 59.182998, ""y"": 49.65237, ""z"": -9, ""lc"": 0, ""sc"": 15}, ""cneh"": 3505.73083333, ""cnkb"": 120055, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608245, ""id"": 1, ""mt"": 1751608245}, ""2"": {""n"": ""registration_plate"", ""v"": ""807JR12"", ""ct"": 1751608245, ""id"": 2, ""mt"": 1752212313}}, ""cnm_km"": 94423, ""pfldsmax"": 0}"
28991335,BPA_Daewoo BH 120F GDW 838VW12,2,0,1771078322,49.652778,59.183071,838VW12,"{""id"": 28991335, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 838VW12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 107902, ""pos"": {""c"": 323, ""f"": 7, ""s"": 0, ""t"": 1771078322, ""x"": 59.183071, ""y"": 49.652778, ""z"": -11, ""lc"": 0, ""sc"": 15}, ""cneh"": 5126.61861111, ""cnkb"": 197850, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738399861, ""id"": 1, ""mt"": 1738399861}, ""2"": {""n"": ""registration_plate"", ""v"": ""838VW12"", ""ct"": 1751608451, ""id"": 2, ""mt"": 1752211094}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608451, ""id"": 3, ""mt"": 1751608451}}, ""cnm_km"": 107902, ""pfldsmax"": 0}"
28991347,BPA_Daewoo BH 120F GDW 968EG12,2,0,1771244210,49.655001,59.148503,968EG12,"{""id"": 28991347, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 968EG12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 124489, ""pos"": {""c"": 325, ""f"": 7, ""s"": 0, ""t"": 1771244210, ""x"": 59.148503, ""y"": 49.655001, ""z"": 12, ""lc"": 0, ""sc"": 15}, ""cneh"": 4892.95861111, ""cnkb"": 168917, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400038, ""id"": 1, ""mt"": 1738400038}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608497, ""id"": 2, ""mt"": 1751608497}, ""3"": {""n"": ""registration_plate"", ""v"": ""968EG12"", ""ct"": 1751608497, ""id"": 3, ""mt"": 1752212333}}, ""cnm_km"": 124489, ""pfldsmax"": 0}"
28991352,BPA_Daewoo BH 120F GDW 050ND12,2,0,1770560965,49.65335,59.18309,050ND12,"{""id"": 28991352, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 050ND12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 155247, ""pos"": {""c"": 261, ""f"": 7, ""s"": 0, ""t"": 1770560965, ""x"": 59.18309, ""y"": 49.65335, ""z"": -14, ""lc"": 0, ""sc"": 15}, ""cneh"": 6149.13833333, ""cnkb"": 198273, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400230, ""id"": 1, ""mt"": 1738400230}, ""2"": {""n"": ""registration_plate"", ""v"": ""050ND12"", ""ct"": 1751608518, ""id"": 2, ""mt"": 1752212349}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608518, ""id"": 3, ""mt"": 1751608518}}, ""cnm_km"": 155247, ""pfldsmax"": 0}"
28991362,BPA_Daewoo BH 120F GDW 604QR12,2,0,1771244223,49.655641,59.176345,604QR12,"{""id"": 28991362, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 604QR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 427871, ""pos"": {""c"": 146, ""f"": 7, ""s"": 0, ""t"": 1771244223, ""x"": 59.176345, ""y"": 49.655641, ""z"": -7, ""lc"": 0, ""sc"": 15}, ""cneh"": 4721.22083333, ""cnkb"": 276545, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""604QR12"", ""ct"": 1751608546, ""id"": 1, ""mt"": 1752210970}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608546, ""id"": 2, ""mt"": 1751608546}}, ""cnm_km"": 427871, ""pfldsmax"": 0}"
28996029,BPA_Daewoo BH-120F GDW 357UJ12,2,0,1771243578,49.5472,59.953053,357UJ12,"{""id"": 28996029, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 357UJ12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 441680, ""pos"": {""c"": 287, ""f"": 7, ""s"": 98, ""t"": 1771243578, ""x"": 59.953053, ""y"": 49.5472, ""z"": 126, ""lc"": 0, ""sc"": 15}, ""cneh"": 4471.01944444, ""cnkb"": 102596, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""357UJ12"", ""ct"": 1751608564, ""id"": 1, ""mt"": 1752210960}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH-120F GDW"", ""ct"": 1751608564, ""id"": 2, ""mt"": 1751608564}}, ""cnm_km"": 441680, ""pfldsmax"": 0}"
28996025,BPA_Daewoo BH-120F GDW 813BC12,2,0,1771218774,49.653918,59.182918,813BC12,"{""id"": 28996025, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 813BC12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 78, ""f"": 7, ""s"": 0, ""t"": 1771218774, ""x"": 59.182918, ""y"": 49.653918, ""z"": -4, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""813BC12"", ""ct"": 1751608581, ""id"": 1, ""mt"": 1752210949}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608581, ""id"": 2, ""mt"": 1751608581}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
28996027,BPA_Daewoo BH-120F GDW 834ZX12,2,0,1771233063,49.653018,59.182048,834ZX12,"{""id"": 28996027, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 834ZX12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 427328, ""pos"": {""c"": 39, ""f"": 7, ""s"": 0, ""t"": 1771233063, ""x"": 59.182048, ""y"": 49.653018, ""z"": 26, ""lc"": 0, ""sc"": 12}, ""cneh"": 3955.13138889, ""cnkb"": 86980, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""834ZX12"", ""ct"": 1751608604, ""id"": 1, ""mt"": 1752210978}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608604, ""id"": 2, ""mt"": 1751608604}}, ""cnm_km"": 427328, ""pfldsmax"": 0}"
28996028,BPA_Daewoo BH-120F GDW 569EA12,2,0,1771219411,49.655503,59.171318,569EA12,"{""id"": 28996028, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 569EA12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 448505, ""pos"": {""c"": 225, ""f"": 7, ""s"": 0, ""t"": 1771219411, ""x"": 59.171318, ""y"": 49.655503, ""z"": 1, ""lc"": 0, ""sc"": 15}, ""cneh"": 4583.42138889, ""cnkb"": 111360, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""569EA12"", ""ct"": 1751608617, ""id"": 1, ""mt"": 1752210986}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608617, ""id"": 2, ""mt"": 1751608617}}, ""cnm_km"": 448505, ""pfldsmax"": 0}"
28996024,BPA_Daewoo BH-120F GDW 732FQ12,2,0,1771241347,49.653335,59.182705,732FQ12,"{""id"": 28996024, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 732FQ12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 235, ""f"": 7, ""s"": 0, ""t"": 1771241347, ""x"": 59.182705, ""y"": 49.653335, ""z"": -7, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""732FQ12"", ""ct"": 1751608629, ""id"": 1, ""mt"": 1752211009}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608629, ""id"": 2, ""mt"": 1751608629}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
